Date,Price
2023-01-03,195.39
2023-01-04,203.64
2023-01-05,204.99
2023-01-06,213
2023-01-09,208.57
2023-01-10,206.69
2023-01-11,208.03
2023-01-12,214.32
2023-01-13,214.13
2023-01-17,211.41
2023-01-18,209.41
2023-01-19,207.09
2023-01-20,206.76
2023-01-23,209.97
2023-01-24,211.98
2023-01-25,212.68
2023-01-26,212.73
2023-01-27,211.17
2023-01-30,209.67
2023-01-31,213
2023-02-01,214.75
2023-02-02,209.34
2023-02-03,206.01
2023-02-06,206.81
2023-02-07,214.76
2023-02-08,213.5
2023-02-09,211.99
2023-02-10,212.89
2023-02-13,215.65
2023-02-14,218.45
2023-02-15,217.44
2023-02-16,212.21
2023-02-17,211.66
2023-02-21,205.52
2023-02-22,205.76
2023-02-23,208.13
2023-02-24,198.15
2023-02-27,200.46
2023-02-28,201.55
2023-03-01,204.55
2023-03-02,210.06
2023-03-03,215.11
2023-03-06,211.92
2023-03-07,207.92
2023-03-08,207.2
2023-03-09,201.24
2023-03-10,203.07
2023-03-13,203.37
2023-03-14,207.28
2023-03-15,198.21
2023-03-16,203.19
2023-03-17,201.05
2023-03-20,204.77
2023-03-21,204.7
2023-03-22,196.16
2023-03-23,197.9
2023-03-24,197.53
2023-03-27,200.57
2023-03-28,204.96
2023-03-29,207.97
2023-03-30,211.04
2023-03-31,212.43
2023-04-03,215.39
2023-04-04,213.9
2023-04-05,210
2023-04-06,211.37
2023-04-10,210.78
2023-04-11,212.32
2023-04-12,212.34
2023-04-13,213.59
2023-04-14,201.71
2023-04-17,205.03
2023-04-18,208.37
2023-04-19,208.71
2023-04-20,207.23
2023-04-21,205.15
2023-04-24,205.77
2023-04-25,202.19
2023-04-26,203.03
2023-04-27,206.04
2023-04-28,206.78
2023-05-01,203.87
2023-05-02,203.25
2023-05-03,200.93
2023-05-04,197.05
2023-05-05,198.34
2023-05-08,197.26
2023-05-09,201.88
2023-05-10,200.84
2023-05-11,201.84
2023-05-12,200.7
2023-05-15,202.77
2023-05-16,200.87
2023-05-17,206.87
2023-05-18,207.24
2023-05-19,205.49
2023-05-22,205.91
2023-05-23,202.6
2023-05-24,199.27
2023-05-25,200.87
